County,State,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Median Age,lon,lat,Adult.obesity,Diabetes,Uninsured,Unemployment
Howell County, Missouri,17.6,82.4,14.1,6.2,73.9,21676.94762,95.2,0.5,0.8,0.45,1.4,1.65,33.5,15.65,39480,37.6,20,0.414,29.7,26.25,14.1,23.15,2.45,9.4,24.55,39,-91.8873677,36.7743685,0.293,0.103,0.189,0.07
Iron County, Missouri,24.8,75.2,9.1,2.9,71.75,22315.07905,95.3,1.85,0.4,0.25,1.1,1.15,33.75,14.4,10356,13.2,23.05,0.443,30.9,26.35,22.9,20.55,0.95,12,17.35,41.9,-90.699627,37.6259598,0.309,0.113,0.194,0.079
Jackson County, Missouri,12.7,87.3,26.9,10,74.35,29560.10445,64.7,22.95,0.35,1.55,2.4,8,27.7,9.15,681904,45.6,15.3,0.449,23.05,34.4,16.15,27.85,0.1,8.7,12.85,36.1,-94.3425074,39.0072333,0.32,0.1,0.18,0.077
Jasper County, Missouri,18.7,81.3,18.6,5.9,72.95,22289.21715,87.15,1.7,1.35,0.95,2.5,6.3,31.45,10.1,116080,39,18.65,0.444,25.4,26.75,18.75,25.2,0.55,9.65,19.05,35.1,-94.3388687,37.2008646,0.326,0.098,0.204,0.059
Jefferson County, Missouri,14.5,85.5,16.1,5.5,76.65,30859.99715,95.4,0.95,0.25,0.6,1.3,1.5,15.95,7.3,217059,43.6,9.4,0.378,12.8,27.8,16.15,26.45,0.1,15.35,14.15,37.1,-90.5431382,38.2574144,0.351,0.098,0.131,0.074
Johnson County, Missouri,9.3,90.7,24.1,9.8,75.95,20448.14921,88.15,4.1,0.5,1.45,2.55,3.3,20.6,6.7,52296,36.4,16,0.404,16.1,27.85,21.65,23.75,0.4,10.3,16.1,29.6,-93.8059991,38.7458799,0.325,0.104,0.161,0.069
Knox County, Missouri,13.7,86.3,13.9,7.3,70.3,20533.78921,97.6,0.25,0.35,0.15,1,0.6,31.5,7.5,4085,81.9,18.9,0.467,26.75,28.95,16.4,18.95,9.2,8.05,18.35,44.1,-92.1468094,40.1367764,0.329,0.111,0.242,0.049
Laclede County, Missouri,18.9,81.1,13,3.6,70.85,22056.92857,94.85,0.8,0.5,0.4,1.6,1.85,27.15,11,35308,30.7,16,0.443,23.3,20.5,16.75,24,1,9.9,27.8,38.5,-92.5948322,37.6596901,0.319,0.101,0.184,0.09
Lafayette County, Missouri,15,85,15.9,5,72.35,28000.50508,93.55,2.15,0.4,0.3,1.75,1.85,18.4,9.2,33061,28.9,10.85,0.389,13.25,25.75,16.35,24.05,0.45,15.55,17.85,40.2,-93.8026388,39.0687048,0.311,0.098,0.151,0.074
Lawrence County, Missouri,19.5,80.5,13.3,4.3,72.85,22611.34889,91.4,0.35,0.7,0.25,1.5,5.8,27.3,12.5,37992,33.8,16.7,0.421,23.65,26.85,16.6,20.65,0.95,12.8,22.1,38.6,-93.8332618,37.1061352,0.3,0.117,0.201,0.06
Lewis County, Missouri,15.6,84.4,13,3.5,79.25,20965.41746,94.15,3.1,0.15,0.25,1.2,1.15,25.7,10.7,10081,40.6,16.6,0.402,25.6,23.9,21.5,20.2,2.25,10.65,21.55,39.2,-91.7288031,40.0845592,0.344,0.112,0.174,0.056
Lincoln County, Missouri,16.9,83.1,11.9,4,73.85,26671.62794,94.1,1.75,0.25,0.25,1.8,1.9,15.55,4.2,51746,42.9,10.6,0.371,16.3,23.6,14.25,26.45,0.65,17.15,17.95,35.1,-90.9577713,39.058568,0.365,0.126,0.155,0.083
Linn County, Missouri,12.1,87.9,14.3,6.7,71.25,23377.76699,95.95,1.05,0.1,0.25,1.3,1.4,30.55,17.7,12763,45.6,15.2,0.465,18.5,24.85,17.15,22.35,2.2,9.25,24.1,42.6,-93.108019,39.8644404,0.354,0.105,0.161,0.083
Livingston County, Missouri,14.9,85.1,19,6.2,71.95,24702.67969,94.5,2.55,0.25,0.15,1.35,1.3,48.05,20.85,14669,48.2,21.5,0.42,34.65,29.9,15.4,25.85,2.6,10.1,16.15,41.3,-93.5482013,39.778587,0.281,0.112,0.165,0.065
Macon County, Missouri,17.9,82.1,15,4.4,73.7,22778.36064,94.7,2.3,0.25,0.25,1.4,1.1,22.2,14.05,15511,38.4,15.7,0.408,21.1,27.85,17.2,22.3,1.85,14,16.8,42,-92.56434,39.829795,0.309,0.109,0.178,0.064
Madison County, Missouri,24.4,75.6,10.7,3.4,70.85,21159.22603,96.6,0.25,0.3,0.25,1.1,1.55,30.75,14.2,12226,43.3,18.45,0.407,29.35,21,15.8,23.75,2.7,14.25,22.45,40.1,-90.3454526,37.4732347,0.36,0.112,0.193,0.071
Maries County, Missouri,20.4,79.6,14.2,5.3,69.8,23017.56095,97.4,0.7,0.3,0.05,0.75,0.85,13.95,10.8,9065,7.7,13.75,0.394,20.5,31.9,14.7,21.35,0.9,13.65,17.55,41.9,-91.923601,38.1626154,0.308,0.112,0.208,0.062
Marion County, Missouri,16.1,83.9,16.9,7.1,73.45,23809.62413,91.35,4.6,0.25,0.4,2.1,1.35,33.4,11.5,28511,42.1,16.4,0.435,22.45,27.65,18.7,23.05,1.05,9.3,20.2,38.6,-91.6353791,39.8075383,0.283,0.088,0.155,0.06
McDonald County, Missouri,23.4,76.6,8.9,2,74.75,21730.49365,80.25,0.5,2.35,0.85,3.6,12.4,26.6,13.1,22986,41.9,16.4,0.422,21.1,18.5,18.7,23.35,1.3,14.85,23.25,36.4,-94.3439556,36.630218,0.317,0.107,0.251,0.062
Mercer County, Missouri,12.7,87.3,14.2,5.5,75.5,23493.30032,97.8,0.35,0.35,0.35,0.5,0.6,28.75,15.9,3629,37.8,15.1,0.415,22.75,41.6,10.8,19.9,7.8,8.3,11.6,43.9,-93.5676313,40.4214135,0.324,0.123,0.212,0.048
Miller County, Missouri,17.4,82.6,11.9,2.9,71.35,21957.12984,96.2,0.55,0.5,0.3,1.1,1.3,19.25,16.1,24739,29.3,15.65,0.402,18.4,23.2,17.55,26.45,0.7,16.9,15.2,40.2,-92.4298711,38.2167197,0.349,0.102,0.202,0.088
Mississippi County, Missouri,33.8,66.2,10.5,2.9,68.5,18377.37715,74.8,21.5,0.3,0.1,1.5,1.7,42.7,19.7,13928,39.6,27.75,0.459,35.8,22.55,24.55,18.55,2.65,11.55,20.1,38.9,-89.2959286,36.826264,0.336,0.114,0.194,0.084
Moniteau County, Missouri,19.6,80.4,17.1,4.8,70.85,26021.42889,90.5,3.45,0.35,0.2,1.7,3.75,16.4,9.25,15344,32.8,11,0.388,15.3,29.8,15.35,21.2,2.85,15.4,15.35,36.8,-92.5836417,38.6330371,0.313,0.106,0.194,0.065
Monroe County, Missouri,15.4,84.6,11.9,4.7,77.25,24967.53715,93.9,2.9,0.15,0.25,1.85,0.95,19.65,11.3,8990,51.7,12.4,0.376,19.2,29.35,13.9,22.75,1.2,9.35,23.45,43.2,-92.0064582,39.4982695,0.321,0.129,0.194,0.082
Montgomery County, Missouri,21.7,78.3,12.2,3.8,76.05,23497.51397,94.9,1.95,0.1,0.25,1.5,1.2,23.85,7.35,12060,31.7,14.2,0.399,23.55,20.5,19.3,23.05,1.75,13.65,21.8,42.2,-91.4654372,38.9351623,0.312,0.119,0.197,0.08
Morgan County, Missouri,21.3,78.7,11.8,3,61.95,23077.49588,95.7,0.45,0.85,0.35,1.25,1.45,25.8,9.35,20586,20.3,16.3,0.417,22.7,25.95,17.1,22.65,1.75,12.95,19.6,46.2,-92.8748352,38.4208069,0.285,0.122,0.222,0.088
New Madrid County, Missouri,26.8,73.2,12.2,4.4,74,22421.86889,81.8,15.2,0.15,0.4,1.2,1.2,32.4,17.45,18339,35.1,21.75,0.471,28.6,24.35,18.05,21.2,4.5,11.05,20.85,39.8,-89.6559485,36.5942608,0.332,0.124,0.167,0.077
Newton County, Missouri,15.1,84.9,18.3,6.9,73.65,23493.56286,88.75,0.65,2.1,1.15,3.4,3.95,24.7,7.5,56904,34.6,15.85,0.439,24.5,28,15.2,25.7,1.05,10.2,19.85,38.4,-94.3347407,36.9080167,0.322,0.123,0.195,0.062
Nodaway County, Missouri,11.6,88.4,23.7,9.3,79.25,17078.31619,94,2.15,0.15,1.3,0.85,1.5,18.25,11.7,22714,34.3,22.9,0.454,17.2,27.15,21.15,22.15,0.7,8,20.95,28.3,-94.8832814,40.3604838,0.303,0.084,0.151,0.055
Oregon County, Missouri,23.2,76.8,10.2,3.1,76.25,18645.17016,94.25,0.2,2.4,0.4,1.75,0.95,26.55,22.5,10601,48.7,24.95,0.452,31.95,19.25,17.6,24.3,3.05,10.9,24.9,45,-91.4029021,36.6848672,0.323,0.133,0.221,0.069
Osage County, Missouri,14,86,13.2,3.9,76.9,28409.25873,98.05,0.65,0.1,0.1,0.45,0.65,18.75,12.6,13649,55.2,10.9,0.394,13.7,27.25,12.25,25.3,1,15.35,18.9,39.6,-91.8595036,38.4642535,0.292,0.109,0.164,0.052
Ozark County, Missouri,21.3,78.7,11.1,4.7,69.2,21289.6908,96.4,0.1,0.7,0.05,1.55,1.1,26.9,12.3,9541,21.2,16.7,0.401,20.45,24.45,16.3,21.7,5.85,11,20.75,47.9,-92.4585804,36.6496431,0.293,0.119,0.237,0.081
Pemiscot County, Missouri,29.9,70.1,9.8,4.2,73.6,22455.18476,70.45,26,0.4,0.15,0.9,2.05,54.2,22.8,18441,67.2,31.7,0.459,45.15,24.5,22.8,20,1.9,9.35,21.5,36.3,-89.7859419,36.2099162,0.354,0.115,0.155,0.081
Perry County, Missouri,19.5,80.5,12.2,3.6,72.55,26012.15683,96.5,0.4,0.15,0.5,1,1.4,19.25,8.2,18804,36.1,9.85,0.395,13.85,22.2,15.7,24.3,0.9,13.45,23.5,39.1,-89.8021249,37.7111296,0.327,0.112,0.156,0.047
Pettis County, Missouri,18.7,81.3,15.8,5.9,73.5,22056.69969,87,2.9,0.35,0.65,1.9,7.2,20.45,11.25,41495,36.5,15.85,0.424,20.4,23.6,15.9,23.6,1.35,10.15,25.35,37,-93.2852073,38.7273667,0.324,0.107,0.197,0.069
Phelps County, Missouri,14.1,85.9,25.3,10.5,81.7,18981.96699,91.05,2.15,0.9,2.6,1.45,1.9,25.2,9.1,43702,27.9,18.9,0.465,21.7,36.15,17.35,25,0.65,9.05,11.8,34.1,-91.7903492,37.8663263,0.327,0.096,0.18,0.064
Pike County, Missouri,20.5,79.5,12.6,3.3,67.6,23097.89937,87.9,7.5,0.3,0.3,1.65,2.35,18.75,8.9,18515,28.6,12.8,0.414,16.35,26.05,20.2,24.4,1.85,11.6,15.9,40.1,-91.1710415,39.3441784,0.331,0.11,0.177,0.067
Platte County, Missouri,5.9,94.1,36.9,12.2,78.25,36441.22921,85.7,5.05,0.35,2.1,2.25,4.6,13.1,5.75,88391,43.4,6.9,0.408,10.1,39.85,14.05,27.7,0.1,7.2,11.05,38.2,-94.7614717,39.3786957,0.292,0.091,0.104,0.056
Polk County, Missouri,20.5,79.5,16.6,5.9,77.55,18892.95461,92.35,0.6,0.4,0.35,4.4,1.85,30.8,15,30560,31.2,21.55,0.431,29.7,30.5,17.55,21.9,1.5,11.35,17.25,37.7,-93.4008166,37.6167611,0.34,0.103,0.191,0.074
Pulaski County, Missouri,11.9,88.1,18.4,6.9,53.7,22607.77016,73.85,10.85,0.75,2.7,3.6,8.35,17,13.9,48479,29.3,13.8,0.386,15.05,29.6,23.6,23.5,1.1,9.15,13.05,26.6,-92.2070224,37.8248346,0.344,0.086,0.173,0.082
Putnam County, Missouri,14.2,85.8,15.6,6.8,69,22460.21429,97.05,0.25,0.4,0.3,0.65,1.35,21.25,14.35,4942,26.4,19,0.446,17.25,33.45,14.6,21,4.55,9,17.4,39.4,-93.0145314,40.4786055,0.295,0.103,0.201,0.057
Ralls County, Missouri,15.5,84.5,16.1,3.2,80.3,25908.29715,96.85,0.85,0.35,0.4,0.75,0.85,12.35,8.2,9929,53.4,9.7,0.389,11.85,25.3,16.25,25,0.95,12.3,20.15,43.7,-91.5247867,39.5534554,0.323,0.123,0.161,0.063
Randolph County, Missouri,17.8,82.2,11.7,3.6,73.3,22907.51715,89.45,6,0.25,0.6,2.15,1.6,30.4,11.55,25471,44.2,19.1,0.413,28.65,27.05,15.8,27.75,0.2,9.8,19.4,37.8,-92.4927245,39.4416013,0.343,0.11,0.171,0.074
Ray County, Missouri,13.9,86.1,13.5,5.8,72.8,31647.90635,95.05,1.35,0.4,0.3,1.35,1.6,13,8.2,23500,20,9.35,0.425,11.85,25.35,15.4,21.85,0.15,15.35,21.9,39.6,-93.9957462,39.3084005,0.313,0.104,0.146,0.09
Reynolds County, Missouri,27.2,72.8,6.7,3.2,70.75,20989.95651,95.35,0.75,1.25,0.1,1.95,0.7,33.55,5.6,6531,40.7,19.55,0.398,30.55,20.35,18.1,15.9,5.7,16.3,23.7,44.5,-90.9695158,37.3608568,0.348,0.122,0.195,0.1
Ripley County, Missouri,29.4,70.6,12.2,4.1,67.6,17637.91143,95.7,0.25,1.5,0.25,1.25,1.05,41,12.45,13811,15.1,24.5,0.405,34.55,24.85,23.85,18.3,3,12,18,41.6,-90.8670597,36.6489017,0.338,0.117,0.204,0.081
Saline County, Missouri,20.2,79.8,17.7,6.1,80.15,22669.86254,84,5.35,0.35,0.6,1.9,7.8,32.8,12.45,23059,17.9,17.5,0.403,24.75,28.65,17.9,19.6,2.6,9.8,21.4,38,-93.2041639,39.1358403,0.338,0.12,0.181,0.064
Schuyler County, Missouri,13,87,9.6,2.8,67.9,21258.75175,98.4,0.2,0.3,0.15,0.55,0.35,41.2,18.2,4268,60.8,20.3,0.407,34.45,25.25,16.15,23.05,4.05,12.4,19.15,40.9,-92.5190156,40.4693611,0.309,0.111,0.217,0.068
Scotland County, Missouri,18.5,81.5,17.8,4.1,60.6,22922.44349,98.65,0.05,0.1,0.1,0.6,0.5,54.3,22.3,4816,15.9,21.85,0.445,30.5,29.95,14.3,27.1,2.65,10.45,15.55,42.2,-92.1428235,40.4476855,0.355,0.11,0.218,0.047
Scott County, Missouri,24.2,75.8,13.7,4.4,76.95,22606.50572,85.25,11.25,0.2,0.35,1.35,1.65,31.5,17.6,39972,51.7,18.75,0.446,23.65,22.95,19.25,26.75,1.25,8.85,21,38.6,-89.5680975,37.0477927,0.323,0.105,0.16,0.066
Shannon County, Missouri,23.6,76.4,13.7,5,72.65,17167.42635,94.25,0.1,1.65,0.55,2.15,1.25,39.8,13.85,8375,59.3,24.75,0.401,36.35,26.85,15.5,16.45,5.4,10.5,25.35,41.9,-91.3983635,37.1519796,0.366,0.127,0.219,0.106
Shelby County, Missouri,11.4,88.6,13.4,4.8,74.95,21471.59143,97.05,0.35,0.15,0.1,1,1.3,19.45,13.5,6415,49.2,13.35,0.372,17.1,26.3,18.2,20.6,4.35,11.2,19.3,42.6,-92.0887194,39.7975309,0.317,0.117,0.184,0.061
St. Charles County, Missouri,7.8,92.2,33.4,10.8,80.1,36425.37175,89.8,4,0.15,2,1.55,2.55,6.35,3.85,351523,54.9,4.8,0.373,6.15,39.5,14.1,28.2,0.1,8.6,9.5,36.6,-90.6749153,38.7811023,0.306,0.076,0.099,0.06
St. Clair County, Missouri,17.1,82.9,14.1,5.4,71.35,21851.2854,95.65,0.3,0.5,0.1,2.6,0.9,18.1,17.8,9592,22.5,16.6,0.41,18.25,31.2,15,23.25,2.2,14.05,14.3,47.6,-93.7730765,38.0390688,0.336,0.121,0.201,0.08
St. Francois County, Missouri,20.8,79.2,14.8,5.5,70.65,23496.82953,93.05,3.95,0.35,0.45,1,1.2,21.1,9.5,64046,28.8,15.45,0.419,20.65,29,19.4,23.55,0.5,12.8,14.7,38.1,-90.4738684,37.8107068,0.32,0.103,0.157,0.085
St. Louis city, Missouri,19.4,80.6,26.9,11.5,74.7,25105.28095,43.5,48.55,0.2,2.5,2.05,3.2,37.95,17.6,337186,46.4,25.2,0.487,38.45,34.5,23.5,24.35,0.1,6.3,11.25,34,-90.2445816,38.6356988,0.329,0.117,0.205,0.093
St. Louis County, Missouri,9.3,90.7,39.1,15.6,81.4,32852.58762,70.4,22.2,0.15,3.3,1.65,2.35,16.85,6.15,996938,58.7,9.4,0.476,13.55,41.65,15.2,27.75,0.1,5.9,9.45,39.4,-90.4459541,38.6407022,0.283,0.1,0.127,0.067
Ste. Genevieve County, Missouri,18.9,81.1,11.6,3.6,76.25,25574.83016,96.7,1,0.35,0.15,0.85,0.9,17.55,9.3,17951,35,10.75,0.378,14.3,24.9,15.65,19.75,1.05,18.3,20.4,42.9,-90.1811702,37.8901797,0.286,0.105,0.155,0.069
Stoddard County, Missouri,25,75,11.7,4.5,70,22207.04508,96.1,1.2,0.45,0.1,0.95,1.15,29.15,15.4,29746,33.2,18.15,0.475,25.1,23.7,18.1,22,2.8,9.65,23.75,40.5,-89.9417354,36.8554282,0.329,0.106,0.18,0.075
Stone County, Missouri,16.6,83.4,16.8,6.3,73.75,19189.11429,90.95,0.05,0.95,0.35,6,1.65,35.4,6.95,31694,26.8,15.3,0.423,27.35,25.35,19.9,29.75,0.25,14.65,10.1,48.5,-93.4677823,36.7478573,0.309,0.116,0.215,0.104
Sullivan County, Missouri,19.1,80.9,9.9,2.9,73.75,19164.59905,81.35,0.25,0.35,0.05,0.9,17.1,34.75,16,6778,27.8,21.75,0.423,31.1,24.6,18.55,18.05,4.2,9.2,25.4,40.3,-93.1097826,40.209587,0.302,0.113,0.224,0.055
Taney County, Missouri,13.4,86.6,20,5.7,77.8,19966.04508,91.95,0.5,0.45,0.55,2.3,4.25,25.25,7.8,48703,45.6,14.1,0.456,21.25,28.9,22.9,31.05,0.1,10.55,6.45,40.7,-93.0428188,36.6498267,0.313,0.113,0.217,0.103
Texas County, Missouri,20.6,79.4,11.8,3.5,70.35,20445.43524,92.5,2.95,0.65,0.2,2.05,1.55,42.1,16.05,25242,25.6,20.6,0.443,27.2,22.2,18.55,23.8,3.1,12.2,20.1,42.2,-91.9644783,37.3142565,0.338,0.103,0.202,0.073
Vernon County, Missouri,15.9,84.1,14.3,5.5,74.2,19219.80794,95.55,0.4,0.6,0.35,1.75,1.45,44.8,14.85,20643,42,22.1,0.427,35.15,29.1,19.4,24,2.05,8.3,17.2,40.1,-94.3415972,37.8501957,0.306,0.11,0.185,0.059
Warren County, Missouri,17,83,16.9,6.5,72.25,27800.80476,93.2,1.8,0.25,0.3,1.8,2.6,23.05,6.8,31381,32.7,12.15,0.421,17.65,25,16.3,26,0.7,15.15,16.9,39,-91.1593065,38.761902,0.314,0.103,0.148,0.077
Washington County, Missouri,29.7,70.3,7.7,3.2,68.75,23878.17175,94.55,2.25,0.55,0.15,1.45,1.05,43.15,16.6,24712,24.7,20.7,0.434,29.2,17.8,20.35,20.65,1.25,14.85,25.1,39.5,-90.8970558,37.942315,0.326,0.103,0.179,0.105
Wayne County, Missouri,27.1,72.9,8.7,2.6,72.75,21635.08984,96.4,0.25,0.75,0.25,1.4,0.8,29.6,16.3,13057,24.5,20.5,0.423,21.75,31.35,17.3,19.75,2,11.05,18.55,45.5,-90.4608682,37.1138253,0.276,0.119,0.21,0.082
Webster County, Missouri,17.8,82.2,14.7,5.5,68.8,23517.57397,95,1.05,0.6,0.15,1.5,1.7,34.05,12.3,35918,25.2,17.85,0.405,26.15,23.45,13,27.35,0.85,15.75,19.6,37.1,-92.8760795,37.2808043,0.322,0.111,0.219,0.069
Worth County, Missouri,14.5,85.5,12.8,2,73.45,21178.93207,98.1,0.25,0.1,0.4,0.45,0.7,14.2,15.95,2114,91.2,14.55,0.362,19.75,33.15,19.2,16.15,3.1,9.35,19.05,47,-94.4191286,40.4804817,0.298,0.117,0.21,0.047
Wright County, Missouri,23.7,76.3,11.3,4.2,70.3,19650.05302,96.1,0.35,0.4,0.3,1.5,1.35,41.45,14.3,18448,34,25.4,0.461,38.6,27.25,18.55,19.05,1.95,13.2,20.05,40.8,-92.4800104,37.2676356,0.347,0.12,0.208,0.071
Beaverhead County, Montana,8.2,91.8,30.4,9.5,79.6,17191.05365,92.6,0.2,1.15,0.9,1.55,3.6,13.05,8.1,9066,80.7,14.55,0.434,13.25,35.25,21.55,23.3,6.65,9.1,4.25,42.5,-112.8928694,45.1338633,0.246,0.082,0.251,0.052
Big Horn County, Montana,16.4,83.6,12.6,5.1,73.35,19858.88286,31.25,0.1,60.9,0.55,2.55,4.7,34.75,16.95,12837,75,23.3,0.432,32.55,31.45,24.5,19.95,2.8,11.85,9.45,31,-107.5181625,45.407869,0.353,0.128,0.303,0.128
Blaine County, Montana,14.6,85.4,17.2,3.3,75.8,21984.69778,48,0.05,48.7,0.05,1.6,1.6,55.7,11.25,6503,50.5,28.3,0.424,42,40.4,17.85,18.6,5.55,9.7,7.85,35.3,-108.9676475,48.4282823,0.335,0.116,0.31,0.056
Broadwater County, Montana,10.2,89.8,15.2,2.8,84.25,20760.07461,95.55,0.3,0.7,0.1,2.05,1.3,17.3,6.15,5107,7.3,11.75,0.363,14.3,30.25,18.75,15.65,8,12.05,15.3,42.6,-111.496103,46.3344755,0.295,0.078,0.231,0.082
Carbon County, Montana,8.7,91.3,28.5,6.8,79.05,24032.89365,95.7,0.2,0.9,0.3,0.85,2.1,13.85,11.15,9909,42.6,10.95,0.419,12.8,34.75,20.35,18.5,3.05,11.5,11.85,46.7,-109.0285509,45.2244745,0.254,0.08,0.221,0.047
Carter County, Montana,8.9,91.1,15.2,4.4,76,19124.27175,98.25,0.05,0.85,0.05,0.3,0.5,31.55,9.15,1210,13.3,12.65,0.45,18.25,59.9,11.15,13,5.35,8.5,2.05,51,-104.5153243,45.5168247,0.239,0.082,0.301,0.032
Cascade County, Montana,9.2,90.8,23.9,7.4,69.25,24227.57905,87.65,1.3,3.85,0.65,3.2,3.3,23.7,8.95,81619,42.2,13.55,0.427,20.2,32.2,18.45,28.2,1.2,10.35,9.65,39.2,-111.350571,47.3164427,0.268,0.083,0.197,0.054
Chouteau County, Montana,9.8,90.2,22.5,4.8,77.65,22049.71746,78.65,0.15,18.45,0.3,1.35,1.2,39.55,7.7,5518,53.6,19.5,0.425,31.45,40.45,18.25,19.7,5.75,11.5,4.3,41.5,-110.4361888,47.886837,0.291,0.098,0.274,0.04
Custer County, Montana,8.8,91.2,19.2,4.5,71.65,22769.98476,94.45,0.25,1.65,0.2,1.35,2.15,23.35,12.1,11414,21.4,15.75,0.417,20.35,31.9,19.55,23.35,2.1,12.55,10.55,41.8,-105.550508,46.2614807,0.242,0.093,0.193,0.037
Daniels County, Montana,5.4,94.6,19.7,5.5,84.55,21280.87778,94.25,0.1,3.9,0.1,0.8,0.9,17.15,7.55,1617,0,14.9,0.434,25.45,42.6,20.25,19.8,2.95,6.4,8.1,49.2,-105.5417385,48.794429,0.244,0.091,0.21,0.04
Dawson County, Montana,10.4,89.6,18.4,6.9,68.8,25069.46413,93.85,0.45,2.3,0.25,1.25,1.9,21.65,9.2,8756,38.2,9.7,0.392,17.1,34.75,17.4,19.45,2.45,13.95,12.05,42.7,-104.9010267,47.2724248,0.266,0.075,0.178,0.035
Deer Lodge County, Montana,14.9,85.1,18.8,4.8,58.25,20442.65334,91.05,0.95,2.55,0.25,2.65,2.55,27.35,7.6,9087,49.4,21.15,0.426,31.35,25.9,25,19.95,0.5,16.35,12.3,46.2,-113.1391079,46.0990592,0.274,0.081,0.199,0.074
Fallon County, Montana,11.9,88.1,15.7,3.8,70.5,25972.42476,97.25,0.05,0.15,0.75,0.75,1.05,19.4,3.3,2773,25,7.6,0.404,14.7,31.75,16.1,17.45,6.1,12.05,16.5,43.5,-104.4057182,46.3181841,0.245,0.079,0.187,0.019
Fergus County, Montana,10.9,89.1,23,7.8,67.5,20190.72699,95.45,0.5,1.75,0.35,0.8,1.2,20.85,11.5,11402,11.3,15.85,0.438,25.05,38.3,20.6,19.25,3.7,7.2,11.05,46.9,-109.2232798,47.2229967,0.247,0.082,0.234,0.053
Flathead County, Montana,7.9,92.1,26.7,7.7,71.1,24755.5927,94,0.2,1.3,0.55,2,2,24.95,7.75,88792,36.1,11.65,0.436,17.7,29.2,17.25,25.35,1.55,15.65,11,40.5,-114.0543188,48.3146961,0.21,0.07,0.237,0.09
Gallatin County, Montana,4,96,45,16.1,75.05,23203.75111,93.5,0.4,0.85,1.1,1.45,2.65,12.5,7.65,88022,39.4,13.8,0.437,12.1,35.25,16.9,24.9,1.1,13.6,8.2,31.8,-111.1734431,45.5355586,0.175,0.041,0.191,0.053
Garfield County, Montana,8.9,91.1,14.1,2,72.65,18085.60318,99.05,0.1,0.2,0.05,0.45,0.1,10.45,10.45,1170,20,11,0.393,15.3,36.85,18.85,18.3,12.65,8.1,5.25,46.5,-106.9822116,47.2811742,0.243,0.079,0.331,0.034
Glacier County, Montana,21.2,78.8,15.6,3.2,74.2,20757.78064,31.6,0.25,62.5,0.15,2.75,2.75,40.45,14.8,13405,68.3,24.7,0.437,33.4,34.7,25.6,20.95,1.75,11.45,5.55,31.4,-112.9905023,48.7056706,0.315,0.128,0.298,0.102
Golden Valley County, Montana,13.3,86.7,23.7,6.7,69.5,21959.41937,95.4,0,1.25,0.35,1.25,1.75,30.4,6.05,878,0,11.8,0.413,22.3,35.2,13.1,14.45,6.9,14.55,15.75,49.7,-109.1745855,46.3806243,0.286,0.094,0.297,0.036
Granite County, Montana,9.2,90.8,23.9,6,76.5,19168.01397,95.55,0.05,1.45,0.25,1.75,0.9,15.8,13.15,2979,22.6,13.5,0.453,7,34.5,26.5,12.35,3.8,13.7,9.1,50.7,-113.4256827,46.3953581,0.209,0.081,0.258,0.1
Hill County, Montana,8.6,91.4,20.4,6.3,76.4,23438.99619,73.65,0.35,20.2,0.5,3,2.35,26,9.65,16265,41.7,17.1,0.432,23.55,33.7,18.15,21.2,2.1,11.45,13.45,35.6,-110.1063715,48.6283314,0.327,0.082,0.23,0.055
Jefferson County, Montana,7.8,92.2,32,12.2,75.55,24964.09365,94.25,0.15,1.25,0.25,2.15,1.95,2.35,7.35,11255,13.1,11.3,0.397,5.25,39.7,17.4,21.1,1.65,8.6,11.55,45.6,-112.0567713,46.1265574,0.201,0.075,0.172,0.052
Judith Basin County, Montana,8.7,91.3,28.5,5.1,72.45,26017.49048,97.95,0,0.4,0.35,0.75,0.6,5.85,9.4,2074,21.4,10.1,0.439,11.55,59.55,12.7,9.45,6,6.45,5.85,52.6,-110.30532,47.032558,0.255,0.085,0.294,0.044
Lake County, Montana,10.7,89.3,25.2,8.7,68.55,20619.50349,69.35,0.25,21.05,0.5,5.55,3.35,40.2,9.9,28492,20.1,21.45,0.43,33.45,33.5,21.1,21,1.5,11.85,11,40.9,-114.0836866,47.6429007,0.273,0.091,0.284,0.089
Lewis and Clark County, Montana,5.6,94.4,34.7,11.8,75.25,26620.03143,92.8,0.3,1.85,0.75,2,2.35,13.15,5.15,61738,40.6,10.05,0.4,11.4,41.55,16.1,26.65,0.6,8.15,7,40.7,-112.3829537,47.1221333,0.238,0.067,0.156,0.049
Liberty County, Montana,27,73,17,2.5,61.7,21926.39651,98.85,0.05,0.1,0.05,0.75,0.15,40.45,16.1,2219,58.3,21.15,0.44,35.2,37.05,15.75,20.9,10.55,9.7,6.1,45.9,-111.0369242,48.5596541,0.271,0.078,0.235,0.053
